Date,Symbol,Type,Average Price,Quantity,Total Price,Commission (PHP)
2024-05-04,PEPEPHP,Buy,0.000555754,17993582,10000.00089,28.10000285
2024-05-10,ARKMPHP,Buy,159.72,12.6,2012.472,5.03118
2024-05-26,FLOKIPHP,Buy,0.01429445,699574,10000.02555,28.50007158
2024-05-29,PEPEPHP,Sell,0.00089,17942796,15969.08844,47.90726532
2024-05-30,SHIBPHP,Buy,0.0016134,1239619,2000.001295,5.000003237
2024-06-02,SHIBPHP,Sell,0.0014554,1236519,1799.629753,5.398889258
2024-06-03,BNBPHP,Buy,37906.01443,0.3431,13005.55355,33.51473388
2024-06-05,ARKMPHP,Buy,164,12.2,2000.8,5.002
2024-06-05,FLOKIPHP,Sell,0.01833721,697587,12791.79916,38.37539748
2024-06-07,ARKMPHP,Sell,148.01,12.1,1790.921,5.372763
2024-06-09,TRUPHP,Buy,13.93967846,933,13005.72,32.5143
2024-06-10,BNBPHP,Sell,38027.63852,0.3422,13013.0579,38.2895887
2024-06-10,TRUPHP,Sell,12.6,930,11718,29.295
